"lat","lon","vienna_zone","n_obs","slope","intercept","r_squared","p_value"
"48.221622","16.329273","Inner_Vienna",34,0.066355996944232,-121.189075630252,0.524055154344509,1.30689199826831e-06
"48.22567","16.167843","Outer_Vienna",34,0.0640794499618027,-118.251260504201,0.499621257094686,2.97456857230697e-06
"48.227066","16.464323","Outer_Vienna",34,0.0660351413292587,-120.912605042016,0.526484002563697,1.20166818092945e-06
"48.22921","16.383606","Outer_Vienna",34,0.0677310924369744,-123.808403361344,0.531978744660485,9.92313947814715e-07
"48.229916","16.3567","Outer_Vienna",34,0.067517188693659,-123.520168067226,0.531348540833443,1.0144515548175e-06
"48.231644","16.28943","Outer_Vienna",34,0.0643239113827348,-118.13025210084,0.512885732805522,1.91263607277595e-06
"48.2382","16.384134","Outer_Vienna",34,0.0670741023682198,-122.692436974789,0.536107211984352,8.58161378409569e-07
"48.239944","16.316856","Outer_Vienna",34,0.066844919786096,-122.876470588235,0.531283425317219,1.01676523303832e-06
"48.245766","16.438494","Outer_Vienna",34,0.0668907563025207,-122.459663865546,0.5301145144999,1.05915369686735e-06
"48.24754","16.371206","Outer_Vienna",34,0.0673644003055766,-123.331092436974,0.531328741342529,1.01515454332208e-06
"48.24824","16.34429","Outer_Vienna",34,0.0669977081741785,-122.906722689075,0.532077361726329,9.88891199512398e-07
"48.248936","16.317373","Outer_Vienna",34,0.0657906799083267,-120.892436974789,0.516783559817299,1.67621260761899e-06
"48.254753","16.439032","Outer_Vienna",34,0.0659740259740258,-120.678151260504,0.52141358211126,1.43115487682184e-06
"48.25511","16.425571","Outer_Vienna",34,0.0669365928189455,-122.531092436974,0.529257654324276,1.09127729900637e-06
"48.257576","16.33135","Outer_Vienna",34,0.0657601222307102,-120.819327731092,0.518395171454992,1.58674643428199e-06
"48.25827","16.304428","Outer_Vienna",34,0.0647211611917493,-119.486554621848,0.503924861575587,2.58067031753164e-06
"48.2641","16.426107","Outer_Vienna",34,0.0666157372039722,-121.913445378151,0.523712180903529,1.32243139089089e-06
"48.265167","16.385721","Outer_Vienna",34,0.0678074866310157,-124.276470588235,0.535753564465029,8.689473287796e-07
"48.280884","15.712386","Outer_Vienna",34,0.0696409472880058,-128.915966386554,0.533031573902413,9.56342196716761e-07
"48.293533","16.333431","Outer_Vienna",35,0.063025210084033,-114.934453781511,0.506711107107464,1.6285792120229e-06
"48.29388","16.31996","Outer_Vienna",34,0.0677005347593581,-124.370588235294,0.5288751031183,1.10591339685946e-06
"48.294567","16.293018","Outer_Vienna",34,0.0656073338426276,-120.847899159663,0.51479105639395,1.79339647375942e-06
"48.29639","16.562958","Outer_Vienna",34,0.0662796027501908,-121.656302521008,0.523908375966345,1.3135210423676e-06
"48.30041","16.414783","Outer_Vienna",34,0.0664323911382733,-121.768907563025,0.521785249221814,1.41302243734423e-06
"48.303844","15.902297","Outer_Vienna",34,0.0672421695951106,-123.86806722689,0.517806993072803,1.6188637919788e-06
"48.345707","16.403975","Outer_Vienna",34,0.0655767761650112,-120.751260504201,0.516264986631843,1.70599654919043e-06
"48.43379","16.476847","Outer_Vienna",34,0.0672116119174941,-123.565546218487,0.534842139462422,8.9733642924617e-07
"48.473145","15.978391","Outer_Vienna",34,0.065133689839572,-119.682352941176,0.502539539052227,2.70175596320362e-06
